loan_id,customer_id,loan_sequence,product_type,ticket_size,tenure_mo,interest_rate_apr,origination_risk_grade,origination_date,origination_cohort,approval_tat_hrs,months_on_book,loan_status,default_flag,value_proxy
L0023034,C018522,2,SME,200000,15,13.8,A,2025-09-06,2025-09,4.9,10,Active,0,5259
L0023035,C018523,1,Personal,111467,14,27.8,D,2026-03-15,2026-03,10.5,4,Active,0,6495
L0023036,C018524,1,SME,1171530,38,20.07,C,2025-06-22,2025-06,4.3,13,Active,0,113755
L0023037,C018525,1,BNPL,50000,2,28.07,B,2026-04-21,2026-04,1.71,2,Closed,0,26
L0023038,C018526,1,BNPL,29010,2,26.9,B,2024-10-31,2024-10,22.39,2,Closed,0,-71
L0023039,C018526,2,SME,2087933,16,17.15,B,2025-02-19,2025-02,21.61,16,Closed,0,116490
L0023040,C018527,1,Personal,87686,33,15.94,A,2024-09-02,2024-09,2.29,6,Closed,0,1800
L0023041,C018528,1,SME,281814,34,12.9,A,2026-05-18,2026-05,12.66,2,Active,0,4669
L0023042,C018529,1,Personal,110973,12,19.38,B,2025-01-19,2025-01,26.04,12,Closed,0,4964
L0023043,C018529,2,Personal,173308,25,20.45,B,2026-05-26,2026-05,11.81,2,Active,0,5158
L0023044,C018530,1,Personal,80803,10,28.2,D,2024-10-22,2024-10,4.76,10,Closed,0,4773
L0023045,C018531,1,BNPL,6835,5,29.66,C,2024-10-03,2024-10,6.48,5,Closed,0,-1041
L0023046,C018532,1,BNPL,8871,3,27.69,B,2025-12-22,2025-12,20.51,3,Closed,0,-211
L0023047,C018533,1,Personal,116244,13,19.79,B,2025-02-13,2025-02,1.53,5,Closed,0,3352
L0023048,C018534,1,BNPL,9584,3,29.3,C,2024-07-16,2024-07,5.45,3,Closed,0,-275
L0023049,C018535,1,Personal,213056,23,23.29,C,2025-02-05,2025-02,75.46,17,Active,0,26078
L0023050,C018535,2,Personal,244559,17,23.49,C,2026-02-08,2026-02,32.88,5,Active,0,14408
L0023051,C018535,3,BNPL,8284,4,30.32,C,2026-04-27,2026-04,82.51,3,Active,0,75
L0023052,C018536,1,BNPL,26017,5,27.75,B,2025-12-11,2025-12,5.76,5,Closed,0,-736
L0023053,C018537,1,Personal,49152,14,31.95,E,2025-10-16,2025-10,7.93,9,Active,1,-17367
L0023054,C018538,1,Personal,264681,31,23.74,C,2025-01-19,2025-01,1.46,18,Active,0,42189
L0023055,C018538,2,BNPL,16255,2,31.96,D,2026-03-10,2026-03,2.57,2,Closed,0,65
L0023056,C018539,1,Personal,97637,13,16.28,A,2026-03-05,2026-03,42.46,4,Active,0,1573
L0023057,C018540,1,Personal,196026,21,23.72,C,2025-05-18,2025-05,4.2,14,Active,0,21199
L0023058,C018541,1,Personal,249342,10,20.11,B,2025-02-01,2025-02,39.61,10,Closed,0,11862
L0023059,C018541,2,Personal,96952,29,20.12,B,2025-10-25,2025-10,27.89,7,Closed,0,5475
L0023060,C018542,1,SME,4694691,35,17.14,B,2026-05-11,2026-05,4.3,2,Active,0,114923
L0023061,C018543,1,Personal,72708,24,24.01,C,2025-04-02,2025-04,69.48,15,Active,0,7505
L0023062,C018544,1,Personal,315547,18,27.83,D,2026-02-21,2026-02,3.37,5,Active,0,21915
L0023063,C018545,1,BNPL,6783,4,23.31,A,2025-04-04,2025-04,2.58,4,Closed,0,-824
L0023064,C018546,1,SME,271395,21,21.14,C,2026-05-23,2026-05,46.24,2,Active,0,7264
L0023065,C018547,1,Personal,147810,15,24.38,C,2026-06-14,2026-06,1.79,1,Active,0,2627
L0023066,C018548,1,SME,200000,41,17.01,B,2026-04-14,2026-04,1.93,3,Active,0,5093
L0023067,C018549,1,BNPL,5446,3,36.9,E,2024-11-17,2024-11,3.07,3,Closed,1,-2512
L0023068,C018550,1,BNPL,16683,3,30.19,C,2024-10-03,2024-10,4.14,3,Closed,0,-290
L0023069,C018551,1,BNPL,3915,4,32.66,D,2026-05-17,2026-05,2.7,2,Active,0,-930
L0023070,C018552,1,Personal,342071,34,16.18,A,2025-12-27,2025-12,5.4,7,Active,0,12585
L0023071,C018553,1,BNPL,40423,3,32.64,D,2026-04-25,2026-04,4.63,3,Active,0,-46
L0023072,C018554,1,BNPL,5466,2,26.8,B,2025-07-17,2025-07,9.08,2,Closed,0,-394
L0023073,C018555,1,SME,369047,22,26.93,E,2026-01-13,2026-01,12.72,6,Active,0,33013
L0023074,C018556,1,SME,295950,15,18.15,B,2026-05-09,2026-05,8.28,2,Active,0,7151
L0023075,C018557,1,Personal,288188,13,24.04,C,2025-07-22,2025-07,1.4,12,Active,0,24371
L0023076,C018558,1,Personal,250112,13,28.65,D,2025-12-03,2025-12,50.13,7,Active,0,23265
L0023077,C018559,1,SME,237441,29,23.17,D,2025-05-02,2025-05,56.6,14,Active,0,27870
L0023078,C018560,1,SME,5000000,25,13.79,A,2025-02-12,2025-02,5.99,17,Active,0,211860
L0023079,C018560,2,Personal,157803,19,19.06,B,2025-02-26,2025-02,2.15,17,Active,1,-36923
L0023080,C018561,1,Personal,70143,21,28.74,D,2026-04-26,2026-04,23.95,3,Active,0,2688
L0023081,C018562,1,BNPL,15980,3,33.83,D,2025-06-14,2025-06,1.41,3,Closed,0,-3
L0023082,C018563,1,SME,5000000,39,19.42,C,2026-01-24,2026-01,3.17,6,Active,0,273801
L0023083,C018564,1,BNPL,4450,3,29.52,C,2025-07-22,2025-07,5.88,3,Closed,0,-440
L0023084,C018565,1,SME,422132,22,16.71,B,2024-07-07,2024-07,2.14,22,Closed,0,27467
L0023085,C018566,1,BNPL,7673,4,26.57,B,2025-09-17,2025-09,5.77,4,Closed,0,-486
L0023086,C018567,1,SME,294050,35,19.56,C,2025-11-04,2025-11,7.42,8,Active,0,18759
L0023087,C018568,1,SME,746709,26,26.02,E,2025-12-08,2025-12,45.34,6,Closed,0,60157
L0023088,C018569,1,SME,1131681,43,16.52,B,2024-08-30,2024-08,77.61,12,Closed,0,70088
L0023089,C018570,1,Personal,156645,12,15.96,A,2026-01-19,2026-01,1.91,6,Active,0,4065
L0023090,C018571,1,Personal,44877,19,28.17,D,2026-06-25,2026-06,4.35,1,Active,0,80
L0023091,C018572,1,SME,200000,14,13.71,A,2026-06-01,2026-06,5.11,1,Active,0,1406
L0023092,C018573,1,Personal,208608,19,27.78,D,2024-12-19,2024-12,13.87,14,Written-off,1,-66764
L0023093,C018573,2,BNPL,9403,2,33.1,D,2025-11-07,2025-11,9.32,2,Closed,0,241
L0023094,C018573,3,Personal,188528,30,28.15,D,2025-12-27,2025-12,16.92,7,Active,0,19628
L0023095,C018574,1,Personal,58947,18,23.55,C,2025-07-05,2025-07,3.84,12,Active,0,4092
L0023096,C018575,1,Personal,53661,21,28.96,D,2025-04-30,2025-04,2.44,15,Active,0,7610
L0023097,C018575,2,BNPL,17475,3,33.22,D,2025-09-22,2025-09,3.17,3,Closed,0,512
L0023098,C018575,3,BNPL,5588,2,32.75,D,2025-10-17,2025-10,2.79,2,Closed,0,-41
L0023099,C018576,1,Personal,438576,24,28.3,D,2024-08-15,2024-08,34.18,23,Active,1,-31805
L0023100,C018577,1,BNPL,17178,2,32.07,D,2025-02-08,2025-02,5.93,2,Closed,0,-541
L0023101,C018578,1,Personal,35754,24,24.19,C,2026-04-30,2026-04,0.92,3,Active,0,840
L0023102,C018579,1,SME,2387876,22,19.76,C,2024-11-21,2024-11,57.25,2,Closed,0,67554
L0023103,C018580,1,BNPL,8561,3,26.35,B,2024-12-20,2024-12,3.75,3,Closed,0,-1597
L0023104,C018580,2,SME,495068,21,19.51,C,2025-01-22,2025-01,2.72,18,Active,0,44439
L0023105,C018580,3,Personal,203938,19,19.28,B,2025-10-14,2025-10,2.68,9,Active,0,12729
L0023106,C018581,1,BNPL,50000,4,26.99,B,2024-07-16,2024-07,4.43,4,Closed,0,255
L0023107,C018581,2,Personal,117482,19,24.31,C,2024-11-28,2024-11,3.13,19,Closed,0,14977
L0023108,C018582,1,Personal,88197,23,15.88,A,2025-06-11,2025-06,10.75,13,Active,0,3311
L0023109,C018583,1,SME,617070,31,16.93,B,2025-01-07,2025-01,56.28,18,Active,0,49600
L0023110,C018584,1,Personal,152577,11,31.85,E,2026-02-24,2026-02,3.0,5,Active,0,10590
L0023111,C018585,1,BNPL,3222,4,24.06,A,2025-10-04,2025-10,4.66,4,Closed,0,-1467
L0023112,C018585,2,Personal,163631,20,16.31,A,2026-01-29,2026-01,2.27,6,Active,0,5637
L0023113,C018586,1,BNPL,4700,2,27.51,B,2025-05-05,2025-05,1.91,2,Closed,0,-733
L0023114,C018587,1,Personal,190245,20,19.84,B,2025-02-20,2025-02,2.62,6,Written-off,1,-119596
L0023115,C018588,1,BNPL,27136,4,30.06,C,2025-06-11,2025-06,36.84,4,Closed,0,673
L0023116,C018589,1,Personal,500000,11,23.07,C,2024-08-29,2024-08,2.41,7,Closed,0,28677
L0023117,C018590,1,BNPL,6076,3,27.48,B,2024-07-17,2024-07,3.65,3,Closed,0,-251
L0023118,C018590,2,BNPL,15470,5,26.71,B,2025-03-03,2025-03,14.0,5,Closed,0,177
L0023119,C018591,1,Personal,108084,15,16.61,A,2024-07-14,2024-07,3.36,15,Closed,0,2953
L0023120,C018591,2,Personal,88440,17,16.87,A,2025-07-08,2025-07,2.26,12,Active,0,3692
L0023121,C018592,1,Personal,102393,9,16.43,A,2025-05-24,2025-05,2.53,9,Closed,0,2228
L0023122,C018592,2,Personal,41181,30,16.73,A,2025-07-21,2025-07,1.03,12,Active,0,1580
L0023123,C018593,1,BNPL,4922,3,29.77,C,2026-05-29,2026-05,0.84,2,Active,0,-524
L0023124,C018594,1,Personal,288593,31,19.17,B,2025-09-14,2025-09,1.41,10,Active,0,19729
L0023125,C018595,1,Personal,68174,22,19.89,B,2024-07-27,2024-07,4.56,22,Closed,0,4040
L0023126,C018596,1,BNPL,4162,3,27.38,B,2025-10-07,2025-10,2.48,3,Closed,0,-621
L0023127,C018597,1,Personal,500000,17,16.3,A,2026-03-26,2026-03,8.11,4,Active,0,13443
L0023128,C018598,1,Personal,40447,18,28.44,D,2025-09-21,2025-09,2.83,10,Active,0,2247
L0023129,C018599,1,BNPL,13542,3,32.87,D,2026-06-16,2026-06,16.15,1,Active,0,-125
L0023130,C018600,1,BNPL,7384,2,35.5,E,2025-04-10,2025-04,2.27,2,Closed,0,53
L0023131,C018601,1,BNPL,40784,4,28.02,B,2025-10-17,2025-10,3.39,4,Closed,0,-514
L0023132,C018602,1,Personal,81633,24,21.06,B,2025-09-10,2025-09,3.62,10,Active,0,4272
L0023133,C018603,1,SME,5000000,43,19.78,C,2025-11-03,2025-11,4.84,8,Active,0,349387
L0023134,C018604,1,BNPL,5323,5,30.44,C,2024-10-28,2024-10,0.8,5,Closed,0,-667
L0023135,C018604,2,Personal,195321,21,24.55,C,2025-01-09,2025-01,3.32,18,Active,0,24797
L0023136,C018605,1,Personal,67283,23,23.73,C,2026-03-25,2026-03,1.66,4,Active,1,-42460
L0023137,C018606,1,Personal,92551,18,16.16,A,2025-06-04,2025-06,2.79,13,Active,0,2622
L0023138,C018607,1,BNPL,3616,4,26.58,B,2026-02-17,2026-02,4.16,4,Closed,0,-1255
L0023139,C018608,1,BNPL,8326,3,32.82,D,2025-08-29,2025-08,3.04,3,Closed,1,-3681
L0023140,C018609,1,BNPL,9661,4,30.36,C,2025-04-13,2025-04,4.15,4,Closed,0,-1019
L0023141,C018610,1,BNPL,12115,3,28.92,C,2024-07-05,2024-07,9.4,3,Closed,0,-199
L0023142,C018610,2,SME,451605,22,20.07,C,2025-03-28,2025-03,3.55,16,Active,0,47943
L0023143,C018611,1,BNPL,31582,3,30.12,C,2024-07-23,2024-07,63.27,3,Closed,0,-1033
L0023144,C018612,1,BNPL,41071,3,32.8,D,2025-08-03,2025-08,1.06,3,Closed,0,958
L0023145,C018612,2,BNPL,24795,1,32.68,D,2026-01-09,2026-01,4.51,1,Closed,0,498
L0023146,C018613,1,Personal,54248,11,18.77,B,2025-05-15,2025-05,3.02,10,Closed,0,1366
L0023147,C018614,1,Personal,95711,28,23.83,C,2024-07-31,2024-07,14.62,24,Active,0,14934
L0023148,C018615,1,Personal,85555,15,23.73,C,2025-11-23,2025-11,2.72,8,Active,0,4839
L0023149,C018616,1,BNPL,34238,3,23.41,A,2025-07-31,2025-07,3.08,3,Closed,0,-1229
L0023150,C018616,2,BNPL,27854,4,24.08,A,2025-08-15,2025-08,2.18,4,Closed,0,282
L0023151,C018617,1,SME,605592,16,20.7,C,2025-11-01,2025-11,47.29,8,Active,0,36469
L0023152,C018618,1,Personal,92312,19,23.76,C,2025-09-14,2025-09,3.15,10,Active,0,6671
L0023153,C018619,1,BNPL,17234,3,29.89,C,2026-02-14,2026-02,3.14,3,Closed,0,-740
L0023154,C018620,1,BNPL,42023,5,24.05,A,2026-03-01,2026-03,4.87,4,Active,0,-410
L0023155,C018621,1,BNPL,7708,5,32.72,D,2026-01-21,2026-01,4.75,5,Closed,0,-794
L0023156,C018622,1,SME,311632,33,14.04,A,2026-02-21,2026-02,33.55,5,Active,0,6842
L0023157,C018623,1,Personal,142291,23,28.68,D,2026-05-19,2026-05,4.0,2,Active,0,4419
L0023158,C018624,1,BNPL,2921,3,30.29,C,2025-03-17,2025-03,2.53,3,Closed,0,-1423
L0023159,C018625,1,BNPL,6844,3,26.36,B,2026-02-08,2026-02,4.44,3,Closed,0,-300
L0023160,C018626,1,BNPL,7751,2,27.62,B,2025-08-23,2025-08,1.19,2,Closed,0,-564
L0023161,C018627,1,BNPL,10976,3,32.07,D,2025-06-26,2025-06,21.09,3,Closed,0,-1253
L0023162,C018628,1,Personal,94652,22,19.51,B,2025-03-25,2025-03,5.48,16,Active,0,6264
L0023163,C018629,1,Personal,500000,11,19.98,B,2025-07-28,2025-07,2.17,11,Closed,0,25207
L0023164,C018630,1,BNPL,8756,3,36.4,E,2026-06-06,2026-06,26.41,1,Active,0,-157
L0023165,C018631,1,Personal,476257,23,16.23,A,2025-05-21,2025-05,2.41,14,Active,0,25676
L0023166,C018632,1,Personal,141484,23,19.67,B,2025-06-17,2025-06,2.02,13,Active,0,9485
L0023167,C018633,1,SME,305964,37,16.31,B,2024-10-10,2024-10,11.98,21,Active,0,23979
L0023168,C018634,1,Personal,215479,15,19.27,B,2024-11-02,2024-11,32.3,15,Closed,0,13464
L0023169,C018635,1,BNPL,50000,4,27.11,B,2024-07-18,2024-07,3.66,4,Closed,0,-282
L0023170,C018636,1,SME,5000000,20,13.79,A,2025-08-14,2025-08,14.41,11,Active,0,168206
L0023171,C018637,1,Personal,89950,28,20.1,B,2025-08-15,2025-08,2.04,11,Active,0,5837
L0023172,C018638,1,SME,656683,23,16.62,B,2025-05-23,2025-05,2.29,14,Active,0,39902
L0023173,C018639,1,BNPL,16765,2,26.8,B,2024-08-17,2024-08,21.83,2,Closed,0,-154
L0023174,C018639,2,BNPL,23082,2,26.33,B,2026-04-29,2026-04,3.33,2,Closed,0,406
L0023175,C018640,1,Personal,66475,16,16.38,A,2025-09-26,2025-09,0.9,10,Active,0,1454
L0023176,C018640,2,Personal,114332,23,20.34,B,2026-03-19,2026-03,3.89,4,Active,0,4629
L0023177,C018641,1,Personal,132875,22,16.21,A,2025-01-17,2025-01,3.36,11,Closed,0,5718
L0023178,C018642,1,Personal,299369,11,15.93,A,2025-02-01,2025-02,4.95,11,Closed,0,10064
L0023179,C018643,1,SME,577092,28,17.35,B,2026-04-10,2026-04,3.58,3,Active,0,15995
L0023180,C018644,1,BNPL,2782,3,36.44,E,2024-12-24,2024-12,1.03,3,Closed,1,-1983
L0023181,C018645,1,SME,1574969,22,13.88,A,2025-03-25,2025-03,11.1,16,Active,0,60622
L0023182,C018646,1,Personal,91409,31,23.77,C,2025-08-01,2025-08,3.41,11,Active,0,8853
L0023183,C018647,1,Personal,94922,24,24.47,C,2025-01-15,2025-01,2.57,18,Active,0,12395
L0023184,C018648,1,SME,396352,25,23.15,D,2024-09-29,2024-09,2.38,22,Active,0,60935
L0023185,C018649,1,SME,458701,38,20.72,C,2026-03-25,2026-03,9.87,4,Active,0,20846
L0023186,C018650,1,BNPL,24082,3,33.18,D,2026-02-12,2026-02,45.94,3,Closed,1,-9850
L0023187,C018651,1,Personal,59741,17,28.06,D,2025-12-15,2025-12,1.37,7,Active,0,5098
L0023188,C018652,1,Personal,72361,11,28.7,D,2025-01-03,2025-01,1.83,11,Closed,0,4759
L0023189,C018653,1,BNPL,11019,3,32.66,D,2025-04-13,2025-04,2.89,3,Closed,0,-1365
L0023190,C018654,1,SME,795456,23,17.05,B,2025-02-20,2025-02,1.69,17,Active,0,53974
L0023191,C018655,1,SME,1636183,27,16.93,B,2026-06-08,2026-06,1.9,1,Active,0,31017
L0023192,C018656,1,Personal,205799,29,20.02,B,2025-10-03,2025-10,62.4,4,Closed,0,7251
L0023193,C018657,1,Personal,97875,23,24.35,C,2025-12-30,2025-12,1.02,7,Active,0,6181
L0023194,C018657,2,SME,438407,25,20.63,C,2026-06-13,2026-06,3.45,1,Active,0,9900
L0023195,C018658,1,BNPL,50000,3,27.85,B,2024-08-24,2024-08,1.74,3,Closed,0,172
L0023196,C018659,1,Personal,114691,20,16.11,A,2025-05-28,2025-05,1.66,14,Active,0,4242
L0023197,C018660,1,BNPL,2000,3,33.35,D,2024-07-30,2024-07,4.3,3,Closed,0,-737
L0023198,C018661,1,Personal,343043,17,23.93,C,2026-06-16,2026-06,18.22,1,Active,0,8214
L0023199,C018662,1,SME,1139502,26,25.7,E,2024-10-01,2024-10,8.62,5,Closed,0,81357
L0023200,C018663,1,BNPL,8708,3,32.1,D,2024-07-06,2024-07,3.27,3,Closed,0,-1524
L0023201,C018664,1,SME,603371,42,13.94,A,2024-12-31,2024-12,16.5,19,Active,0,29797
L0023202,C018665,1,BNPL,4995,4,24.09,A,2025-05-29,2025-05,2.97,4,Closed,0,-945
L0023203,C018666,1,Personal,261544,28,16.06,A,2024-11-25,2024-11,3.08,20,Active,0,15415
L0023204,C018667,1,SME,276898,19,25.51,E,2025-03-30,2025-03,1.78,16,Active,0,33895
L0023205,C018668,1,Personal,222369,24,19.34,B,2025-09-03,2025-09,4.51,10,Active,0,14617
L0023206,C018669,1,Personal,104905,27,19.68,B,2025-01-07,2025-01,41.26,18,Active,0,9187
L0023207,C018669,2,Personal,51452,23,21.42,B,2026-02-15,2026-02,38.71,5,Active,0,2423
L0023208,C018670,1,Personal,41703,7,15.43,A,2025-03-05,2025-03,1.26,7,Closed,0,11
L0023209,C018670,2,BNPL,17910,3,24.06,A,2025-08-24,2025-08,0.98,3,Closed,0,47
L0023210,C018671,1,Personal,88766,16,27.67,D,2025-11-24,2025-11,6.07,4,Closed,0,4525
L0023211,C018672,1,Personal,48574,21,23.38,C,2026-04-02,2026-04,5.91,3,Active,0,1566
L0023212,C018673,1,Personal,129870,25,24.1,C,2026-05-14,2026-05,8.22,2,Active,0,4139
L0023213,C018674,1,SME,5000000,44,17.18,B,2026-02-22,2026-02,1.81,5,Active,0,195664
L0023214,C018675,1,Personal,500000,18,22.77,C,2026-06-09,2026-06,3.95,1,Active,0,11882
L0023215,C018676,1,Personal,132565,14,32.23,E,2025-10-09,2025-10,2.0,9,Active,0,15406
L0023216,C018677,1,BNPL,21085,4,27.77,B,2026-03-05,2026-03,2.88,4,Active,0,-271
L0023217,C018678,1,BNPL,48353,3,30.28,C,2025-02-13,2025-02,3.3,3,Closed,0,-653
L0023218,C018679,1,BNPL,15720,3,27.08,B,2026-02-03,2026-02,3.42,3,Closed,0,-847
L0023219,C018680,1,Personal,117554,18,28.12,D,2026-01-30,2026-01,2.45,6,Active,0,8894
L0023220,C018681,1,BNPL,6339,3,27.25,B,2026-05-18,2026-05,58.59,2,Active,0,-926
L0023221,C018682,1,BNPL,8705,4,29.53,C,2024-07-29,2024-07,1.07,4,Closed,0,-330
L0023222,C018683,1,Personal,67096,18,23.9,C,2025-10-22,2025-10,6.47,3,Closed,0,2579
L0023223,C018684,1,Personal,500000,28,15.89,A,2024-11-13,2024-11,11.67,4,Closed,0,14409
L0023224,C018685,1,Personal,58684,26,15.69,A,2025-01-07,2025-01,23.82,18,Active,0,2280
L0023225,C018685,2,Personal,117998,20,17.05,A,2025-09-12,2025-09,3.19,10,Active,0,5430
L0023226,C018685,3,SME,979670,21,12.88,A,2025-10-05,2025-10,28.16,9,Active,0,24753
L0023227,C018686,1,BNPL,8278,3,25.05,A,2026-02-26,2026-02,4.05,3,Closed,0,-611
L0023228,C018687,1,Personal,39348,17,16.76,A,2025-12-16,2025-12,15.97,7,Active,0,119
L0023229,C018688,1,BNPL,5719,3,27.61,B,2024-08-28,2024-08,5.38,3,Closed,0,-1753
L0023230,C018688,2,Personal,46613,17,15.49,A,2026-06-29,2026-06,2.49,1,Active,0,784
L0023231,C018689,1,SME,200000,19,22.79,D,2025-07-13,2025-07,34.03,12,Active,0,17260
L0023232,C018690,1,BNPL,9629,5,27.08,B,2026-06-08,2026-06,1.77,1,Active,0,-1802
L0023233,C018691,1,Personal,212628,22,20.43,B,2026-06-07,2026-06,1.15,1,Active,0,3751
L0023234,C018692,1,Personal,214823,28,18.93,B,2024-09-26,2024-09,3.6,2,Closed,0,5705
L0023235,C018693,1,Personal,438993,15,24.36,C,2024-08-23,2024-08,22.38,2,Closed,0,15085
L0023236,C018694,1,Personal,137558,17,23.88,C,2025-02-14,2025-02,37.86,17,Closed,0,12535
L0023237,C018695,1,SME,1204125,41,17.33,B,2026-03-29,2026-03,2.15,4,Active,0,41495
L0023238,C018696,1,SME,1217870,19,13.55,A,2025-01-19,2025-01,45.41,18,Active,0,40724
L0023239,C018696,2,Personal,92521,19,16.26,A,2026-03-12,2026-03,60.86,2,Closed,0,1982
L0023240,C018697,1,Personal,52720,27,23.8,C,2024-10-29,2024-10,3.35,3,Closed,0,1471
L0023241,C018698,1,BNPL,16188,3,23.93,A,2025-10-24,2025-10,1.99,3,Closed,0,-1079
L0023242,C018699,1,BNPL,9075,3,36.22,E,2025-04-23,2025-04,2.32,3,Closed,1,-4672
L0023243,C018700,1,Personal,35064,25,29.01,D,2026-06-11,2026-06,8.29,1,Active,0,670
L0023244,C018701,1,BNPL,14641,5,30.67,C,2025-08-30,2025-08,2.41,5,Closed,0,-912
L0023245,C018701,2,SME,784217,16,24.06,D,2026-04-09,2026-04,4.6,3,Active,0,35219
L0023246,C018702,1,Personal,68919,15,19.19,B,2025-04-11,2025-04,4.03,6,Closed,0,1411
L0023247,C018703,1,Personal,81394,30,23.42,C,2024-10-11,2024-10,3.9,21,Active,0,10364
L0023248,C018704,1,BNPL,9297,3,32.51,D,2026-03-04,2026-03,1.99,3,Closed,1,-4024
L0023249,C018705,1,Personal,159624,26,20.72,B,2025-01-07,2025-01,1.23,18,Active,0,16657
L0023250,C018706,1,SME,2467438,41,17.19,B,2025-05-30,2025-05,1.85,14,Active,0,186921
L0023251,C018706,2,BNPL,2000,2,24.29,A,2025-11-23,2025-11,3.11,2,Closed,0,-139
L0023252,C018707,1,SME,1178148,27,21.85,D,2024-07-24,2024-07,2.75,16,Written-off,1,-618096
L0023253,C018708,1,Personal,194536,23,23.15,C,2026-01-18,2026-01,9.11,6,Active,0,12484
L0023254,C018709,1,BNPL,17814,3,24.84,A,2024-10-15,2024-10,3.76,3,Closed,0,-106
L0023255,C018710,1,Personal,303481,33,15.44,A,2026-04-14,2026-04,7.15,3,Active,0,7364
L0023256,C018711,1,SME,419674,17,25.16,E,2025-02-02,2025-02,1.0,17,Active,0,50188
L0023257,C018712,1,SME,990351,39,14.33,A,2025-02-15,2025-02,3.95,17,Active,0,51145
L0023258,C018713,1,Personal,93415,22,32.21,E,2025-07-26,2025-07,0.7,12,Active,0,19042
L0023259,C018714,1,BNPL,12996,5,30.3,C,2026-02-09,2026-02,18.07,5,Active,0,60
L0023260,C018714,2,Personal,232408,11,28.33,D,2026-03-08,2026-03,38.5,4,Active,0,13819
L0023261,C018715,1,Personal,146514,21,32.16,E,2026-03-02,2026-03,3.51,4,Active,0,10874
L0023262,C018715,2,Personal,30000,9,31.67,E,2026-04-26,2026-04,2.66,3,Active,0,1684
L0023263,C018716,1,Personal,70288,21,19.33,B,2026-04-28,2026-04,14.47,3,Active,0,1840
L0023264,C018717,1,SME,1502937,34,19.92,C,2025-05-08,2025-05,3.42,14,Active,0,149181
L0023265,C018718,1,BNPL,50000,3,29.97,C,2026-03-09,2026-03,1.53,3,Closed,0,1690
L0023266,C018719,1,BNPL,36923,3,33.5,D,2024-10-07,2024-10,3.34,3,Closed,1,-14110
L0023267,C018720,1,Personal,239051,19,19.8,B,2025-01-20,2025-01,9.24,16,Closed,0,18407
L0023268,C018721,1,SME,371425,31,23.1,D,2025-09-14,2025-09,35.6,10,Active,0,36347
L0023269,C018722,1,Personal,336111,25,19.98,B,2025-02-23,2025-02,36.19,17,Active,0,31957
L0023270,C018723,1,Personal,75261,34,24.8,C,2025-01-06,2025-01,4.26,18,Active,0,10282
L0023271,C018724,1,SME,1416539,39,19.77,C,2025-06-06,2025-06,3.26,13,Active,0,138204
L0023272,C018724,2,SME,1389890,19,20.38,C,2025-07-14,2025-07,4.36,12,Active,0,111587
L0023273,C018725,1,Personal,90454,20,23.69,C,2024-08-11,2024-08,2.18,20,Closed,1,-11130
L0023274,C018726,1,BNPL,5915,2,32.48,D,2024-10-01,2024-10,1.86,2,Closed,0,-496
L0023275,C018727,1,SME,300486,25,15.72,B,2025-04-30,2025-04,4.25,15,Active,0,14694
L0023276,C018728,1,Personal,81263,35,20.18,B,2025-03-06,2025-03,13.1,16,Active,0,8555
L0023277,C018729,1,Personal,237305,20,25.28,C,2025-07-06,2025-07,3.39,12,Active,0,25621
L0023278,C018730,1,BNPL,23956,4,26.86,B,2026-04-16,2026-04,0.96,3,Active,0,-146
L0023279,C018731,1,BNPL,18579,3,35.75,E,2024-11-13,2024-11,7.08,3,Closed,0,-671
L0023280,C018732,1,Personal,65671,20,15.73,A,2024-08-10,2024-08,4.15,20,Closed,0,623
L0023281,C018733,1,Personal,111468,15,28.3,D,2025-07-05,2025-07,7.0,12,Active,0,12181
L0023282,C018734,1,Personal,275610,12,23.98,C,2025-09-13,2025-09,7.12,10,Active,0,19973
L0023283,C018735,1,BNPL,6682,4,24.27,A,2025-08-17,2025-08,14.76,4,Closed,0,-450
L0023284,C018736,1,Personal,82999,29,19.58,B,2025-08-16,2025-08,3.39,11,Active,0,4644
L0023285,C018737,1,Personal,172795,11,31.74,E,2024-12-26,2024-12,3.55,8,Written-off,1,-80024
L0023286,C018738,1,BNPL,3466,6,25.02,A,2025-01-03,2025-01,10.09,6,Closed,0,-502
L0023287,C018739,1,SME,1092366,19,16.85,B,2025-09-27,2025-09,5.58,10,Active,0,53352
L0023288,C018740,1,BNPL,10432,3,27.35,B,2025-08-25,2025-08,1.85,3,Closed,0,-740
L0023289,C018740,2,BNPL,46128,2,26.92,B,2025-10-15,2025-10,1.32,2,Closed,0,380
L0023290,C018741,1,SME,825637,33,19.59,C,2026-04-22,2026-04,16.23,3,Active,0,29187
L0023291,C018742,1,SME,397548,18,23.3,D,2025-08-28,2025-08,45.18,11,Active,0,35558
L0023292,C018743,1,Personal,44581,22,19.87,B,2025-01-10,2025-01,82.24,18,Active,0,1667
L0023293,C018744,1,BNPL,36642,4,28.71,C,2026-02-06,2026-02,1.87,4,Closed,0,724
L0023294,C018745,1,Personal,64773,18,24.21,C,2026-03-15,2026-03,1.39,4,Active,0,2654
L0023295,C018746,1,BNPL,22607,2,34.03,D,2026-04-12,2026-04,1.45,2,Closed,0,-501
L0023296,C018747,1,Personal,257318,22,15.77,A,2025-04-21,2025-04,2.1,15,Active,0,12097
